,Codigo,Descripcion,Unidad,Costo_Materiales,Costo_Ejecucion,Costo_Total
24,,"Incluye materiales, mano de obra, equipos, para encofrado (con madera); corte, doblado y posicionado armaduras; elaboración hormigón en obra (volúmenes menores), llenado y posterior desencofrado.",,,,
25,3.0,Bases H°A° -H21/50kg,m3,"$ 273.081,47","$ 154.396,61","$ 427.478,08"
26,3.01,Columnas H°A° - H21/90kg,m3,"$ 391.977,67","$ 312.582,86","$ 704.560,53"
27,3.02,Encadenado H°A° - H21/65kg,m3,"$ 315.407,85","$ 310.631,89","$ 626.039,74"
28,3.03,Escalera H°A° - H21/65kg,m3,"$ 343.607,48","$ 335.183,54","$ 678.791,02"
29,3.04,Losa HºAº con viguetas y ladrillón cerámico 12cm,m2,"$ 37.515,51","$ 48.487,28","$ 86.002,79"
30,3.05,Losa HºAº con viguetas y ladrillón poliestireno exp.12cm,m2,"$ 46.052,30","$ 46.129,66","$ 92.181,97"
31,3.06,Losa HºAº macizas H21/60kg,m3,"$ 333.245,87","$ 307.723,65","$ 640.969,51"
32,3.07,Tabiques H°A° - H21/70kg,m3,"$ 334.250,23","$ 447.524,28","$ 781.774,50"
33,3.08,Tanques H°A° - H21/120kg,m3,"$ 356.743,35","$ 489.486,38","$ 846.229,73"
34,3.09,Vigas H°A° - H21/120kg,m3,"$ 477.389,46","$ 422.328,48","$ 899.717,95"
35,3.1,Zapata corrida muros Hº cascotes,m3,"$ 164.970,21","$ 44.413,16","$ 209.383,37"
36,3.11,Zapata corrida muros HºAº,m3,"$ 237.473,46","$ 93.054,55","$ 330.528,01"
37,,Metálica,,,,
38,,"Incluye materiales, mano de obra, equipos, para corte, soldadura y/u otros en Taller y montaje en obra; no incluye pintura ni flete.",,,,
39,3.12,Hierros redondos,kg,"$ 2.707,07","$ 4.386,16","$ 7.093,24"
40,3.13,Perfiles ángulo,kg,"$ 7.850,52","$ 6.447,66","$ 14.298,18"
41,3.14,Perfiles normales,kg,"$ 6.767,69","$ 5.526,57","$ 12.294,25"
42,4.0,MAMPOSTERÍAS Y TABIQUERÍAS,,,,
43,,Mamposterías,,,,
44,,Ladrillos comunes y huecos con mezclas húmedas.Técnicas y dosajes tradicionales,,,,
45,4.01,Bloques hcca 10x25x50cm,m2,"$ 22.146,01","$ 16.246,66","$ 38.392,67"
46,4.02,Bloques hcca 15x25x50cm,m2,"$ 34.237,65","$ 19.063,68","$ 53.301,33"
47,4.03,Bloques hcca 20x25x50cm,m2,"$ 45.811,44","$ 21.880,70","$ 67.692,14"
48,4.04,Bloques hormigón 10x20x40cm,m2,"$ 19.729,80","$ 21.119,02","$ 40.848,82"
49,4.05,Bloques hormigón 20x20x40cm,m2,"$ 24.656,09","$ 24.697,72","$ 49.353,81"
50,4.06,Ladrillos cerámicos decorativos 12x18x25cm,m2,"$ 23.137,79","$ 23.079,96","$ 46.217,75"
51,4.07,Ladrillos cerámicos huecos 12x18x33cm,m2,"$ 14.864,07","$ 23.108,37","$ 37.972,44"
52,4.08,Ladrillos cerámicos huecos 18x18x33cm,m2,"$ 20.483,71","$ 24.756,53","$ 45.240,24"
53,4.09,Ladrillos cerámicos huecos 8x18x33cm,m2,"$ 9.955,70","$ 21.460,20","$ 31.415,91"
54,4.1,Ladrillos comunes a la vista en elevación,m3,"$ 209.817,88","$ 137.968,27","$ 347.786,14"
